"Timestamp"	"Age"	"Sex"	"Height"	"Weight"	"Shoe.size"	"Eye.Color"	"Smoking"	"Smoking.How.many.per.day"	"Videogames"	"TV..hours.per.week."	"Internet..hours.per.week."	"Books..how.many.per.year."	"Sport..hours.per.week."	"Pet"	"Faculty"	"Friends.on.Facebook"	"Sleep..hours.per.night."	"PetBird"	"PetCat"	"PetDog"	"PetFish"	"Petno"	"PetOther"	"PetRodent"
"10.7.2010 10:01:33"	20	"female"	170	62	41	"brown"	"no"	0	"no"	5	9	15	10	"Cat, Bird, Other"	"Veterinary"	NA	NA	"Yes"	"Yes"	"No"	"No"	"No"	"Yes"	"No"
"10.7.2010 11:02:34"	19	"male"	188	75	46	"blue"	"no"	0	"yes"	10	25	1	7	"Dog"	"Veterinary"	NA	NA	"No"	"No"	"Yes"	"No"	"No"	"No"	"No"
"10.7.2010 13:18:47"	20	"female"	156	54	38	"green"	"no"	0	"no"	0	10	10	1	"Cat, Dog, Other"	"Veterinary"	NA	NA	"No"	"Yes"	"Yes"	"No"	"No"	"Yes"	"No"
"10.7.2010 14:53:35"	20	"female"	165	77	39	"brown"	"no"	0	"no"	15	10	20	10	"Cat, Bird, Rodent, Other"	"Veterinary"	NA	NA	"Yes"	"Yes"	"No"	"No"	"No"	"Yes"	"Yes"
"10.7.2010 15:27:40"	18	"female"	170	52	38	"blue"	"no"	0	"no"	7	16	10	2	"Cat, Dog"	"Veterinary"	NA	NA	"No"	"Yes"	"Yes"	"No"	"No"	"No"	"No"
"10.8.2010 17:31:06"	18	"female"	167	53	38	"black"	"no"	0	"yes"	4	10	15	9	"Dog"	"Veterinary"	NA	NA	"No"	"No"	"Yes"	"No"	"No"	"No"	"No"
"10.8.2010 18:18:10"	19	"male"	180	69	43	"blue"	"no"	0	"no"	2.5	11	0.5	10	"Cat, Dog, Other"	"Veterinary"	NA	NA	"No"	"Yes"	"Yes"	"No"	"No"	"Yes"	"No"
"10.9.2010 13:00:41"	19	"female"	173	63	40	"green"	"yes"	1	"no"	2	5	10	2	"Cat, Dog, Fish, Bird, Other"	"Veterinary"	NA	NA	"Yes"	"Yes"	"Yes"	"Yes"	"No"	"Yes"	"No"
"10.10.2010 10:38:39"	19	"male"	182	80	45	"brown"	"no"	0	"no"	5	7	4	3	"Rodent"	"Veterinary"	NA	NA	"No"	"No"	"No"	"No"	"No"	"No"	"Yes"
"10.10.2010 14:13:31"	19	"female"	165	92	44	"black"	"no"	0	"no"	0	1	24.5	0	"Other"	"Veterinary"	NA	NA	"No"	"No"	"No"	"No"	"No"	"Yes"	"No"
"10.10.2010 17:30:55"	20	"female"	167	59	39	"brown"	"no"	0	"no"	2	5	3	6	"Cat, Fish, Bird, Rodent"	"Veterinary"	NA	NA	"Yes"	"Yes"	"No"	"Yes"	"No"	"No"	"Yes"
"10.10.2010 17:54:13"	18	"female"	156	45	36	"brown"	"no"	0	"no"	1	3	3	4	"Cat, Dog, Fish, Rodent, Other"	"Veterinary"	NA	NA	"No"	"Yes"	"Yes"	"Yes"	"No"	"Yes"	"Yes"
"10.10.2010 21:32:16"	19	"male"	188	75	45	"blue"	"no"	0	"yes"	8	10	10	12	"Dog"	"Veterinary"	NA	NA	"No"	"No"	"Yes"	"No"	"No"	"No"	"No"
"10.11.2010 18:58:17"	19	"female"	173	64	40	"blue"	"no"	0	"no"	0	5	10	3	"Cat, Dog, Other"	"Veterinary"	NA	NA	"No"	"Yes"	"Yes"	"No"	"No"	"Yes"	"No"
"10.11.2010 21:01:05"	19	"male"	180	85	43	"other"	"no"	0	"yes"	1	5	25	7	"Cat, Dog"	"Veterinary"	NA	NA	"No"	"Yes"	"Yes"	"No"	"No"	"No"	"No"
"10.11.2010 21:14:51"	26	"female"	165	58	38	"green"	"yes"	5	"no"	0	14	10	20	"Cat, Dog"	"Veterinary"	NA	NA	"No"	"Yes"	"Yes"	"No"	"No"	"No"	"No"
"10.13.2010 7:36:22"	19	"male"	180	64	42	"brown"	"no"	0	"no"	4	4	5	1	"Cat, Dog, Other"	"Veterinary"	NA	NA	"No"	"Yes"	"Yes"	"No"	"No"	"Yes"	"No"
"10.13.2010 18:24:04"	19	"female"	169	50	38	"brown"	"no"	0	"no"	5	15	30	5	"Dog"	"Veterinary"	NA	NA	"No"	"No"	"Yes"	"No"	"No"	"No"	"No"
"10.13.2010 19:23:20"	20	"male"	182	77	43	"green"	"no"	0	"no"	4	12	1	12	"Cat, Other"	"Veterinary"	NA	NA	"No"	"Yes"	"No"	"No"	"No"	"Yes"	"No"
"10.13.2010 23:21:20"	19	"male"	175	65	40	"brown"	"no"	0	"yes"	4	4	25	6	"Cat, Bird"	"Veterinary"	NA	NA	"Yes"	"Yes"	"No"	"No"	"No"	"No"	"No"
"10.14.2010 8:36:38"	19	"male"	193	93	46	"blue"	"no"	0	"yes"	2	20	10	9	"Dog"	"Veterinary"	NA	NA	"No"	"No"	"Yes"	"No"	"No"	"No"	"No"
"10.15.2010 12:26:41"	19	"female"	167	51	38	"green"	"no"	0	"no"	4	9	10	6	"no"	"Veterinary"	NA	NA	"No"	"No"	"No"	"No"	"Yes"	"No"	"No"
"10.19.2010 20:13:01"	19	"female"	171	56	40	"blue"	"no"	0	"no"	2	3	10	2	"Cat, Dog"	"Veterinary"	NA	NA	"No"	"Yes"	"Yes"	"No"	"No"	"No"	"No"
"10.20.2010 16:13:33"	19	"female"	162	53	37	"brown"	"no"	0	"no"	1	8	20	4	"Dog"	"Veterinary"	NA	NA	"No"	"No"	"Yes"	"No"	"No"	"No"	"No"
